,input,choice,label,demographic,year
122,Important child qualities: religious faith,not mentioned,15939,female,2017
123,Important child qualities: religious faith,mentioned,3366,female,2017
124,Important child qualities: religious faith,not mentioned,20518,male,2018
125,Important child qualities: religious faith,mentioned,9307,male,2018
126,Important child qualities: religious faith,not mentioned,23445,female,2018
127,Important child qualities: religious faith,mentioned,11440,female,2018
128,Important child qualities: religious faith,not mentioned,3223,male,2019
129,Important child qualities: religious faith,mentioned,1572,male,2019
130,Important child qualities: religious faith,not mentioned,3581,female,2019
131,Important child qualities: religious faith,mentioned,1901,female,2019
132,Important child qualities: religious faith,not mentioned,7705,male,2020
133,Important child qualities: religious faith,mentioned,3284,male,2020
134,Important child qualities: religious faith,not mentioned,8805,female,2020
135,Important child qualities: religious faith,mentioned,3729,female,2020
136,Important child qualities: religious faith,not mentioned,1617,male,2021
137,Important child qualities: religious faith,mentioned,1499,male,2021
138,Important child qualities: religious faith,not mentioned,2227,female,2021
139,Important child qualities: religious faith,mentioned,1826,female,2021
140,Important child qualities: religious faith,not mentioned,1067,male,2022
141,Important child qualities: religious faith,mentioned,506,male,2022
142,Important child qualities: religious faith,not mentioned,1192,female,2022
143,Important child qualities: religious faith,mentioned,501,female,2022
144,Age recoded (6 intervals),15-24,1775,male,2017
145,Age recoded (6 intervals),25-34,2693,male,2017
146,Age recoded (6 intervals),35-44,2765,male,2017
147,Age recoded (6 intervals),45-54,2820,male,2017
148,Age recoded (6 intervals),55-64,2948,male,2017
149,Age recoded (6 intervals),64 and more,3808,male,2017
150,Age recoded (6 intervals),15-24,1915,female,2017
151,Age recoded (6 intervals),25-34,3230,female,2017
152,Age recoded (6 intervals),35-44,3232,female,2017
153,Age recoded (6 intervals),45-54,3303,female,2017
154,Age recoded (6 intervals),55-64,3373,female,2017
155,Age recoded (6 intervals),64 and more,4574,female,2017
156,Age recoded (6 intervals),15-24,3900,male,2018
157,Age recoded (6 intervals),25-34,5790,male,2018
158,Age recoded (6 intervals),35-44,5716,male,2018
159,Age recoded (6 intervals),45-54,5391,male,2018
160,Age recoded (6 intervals),55-64,4701,male,2018
161,Age recoded (6 intervals),64 and more,4497,male,2018
162,Age recoded (6 intervals),15-24,4099,female,2018
163,Age recoded (6 intervals),25-34,6925,female,2018
164,Age recoded (6 intervals),35-44,6869,female,2018
165,Age recoded (6 intervals),45-54,6278,female,2018
166,Age recoded (6 intervals),55-64,5608,female,2018
167,Age recoded (6 intervals),64 and more,5248,female,2018
168,Age recoded (6 intervals),15-24,654,male,2019
169,Age recoded (6 intervals),25-34,914,male,2019
170,Age recoded (6 intervals),35-44,869,male,2019
171,Age recoded (6 intervals),45-54,840,male,2019
172,Age recoded (6 intervals),55-64,834,male,2019
173,Age recoded (6 intervals),64 and more,862,male,2019
174,Age recoded (6 intervals),15-24,693,female,2019
175,Age recoded (6 intervals),25-34,985,female,2019
176,Age recoded (6 intervals),35-44,1039,female,2019
177,Age recoded (6 intervals),45-54,1021,female,2019
178,Age recoded (6 intervals),55-64,893,female,2019
179,Age recoded (6 intervals),64 and more,962,female,2019
180,Age recoded (6 intervals),15-24,1748,male,2020
181,Age recoded (6 intervals),25-34,2347,male,2020
182,Age recoded (6 intervals),35-44,2149,male,2020
183,Age recoded (6 intervals),45-54,1877,male,2020
184,Age recoded (6 intervals),55-64,1535,male,2020
185,Age recoded (6 intervals),64 and more,1528,male,2020
186,Age recoded (6 intervals),15-24,1981,female,2020
187,Age recoded (6 intervals),25-34,2745,female,2020
188,Age recoded (6 intervals),35-44,2625,female,2020
189,Age recoded (6 intervals),45-54,2055,female,2020
190,Age recoded (6 intervals),55-64,1745,female,2020
191,Age recoded (6 intervals),64 and more,1639,female,2020
192,Age recoded (6 intervals),15-24,583,male,2021
193,Age recoded (6 intervals),25-34,879,male,2021
194,Age recoded (6 intervals),35-44,632,male,2021
195,Age recoded (6 intervals),45-54,396,male,2021
196,Age recoded (6 intervals),55-64,366,male,2021
197,Age recoded (6 intervals),64 and more,288,male,2021
198,Age recoded (6 intervals),15-24,678,female,2021
199,Age recoded (6 intervals),25-34,1006,female,2021
200,Age recoded (6 intervals),35-44,784,female,2021
201,Age recoded (6 intervals),45-54,586,female,2021
202,Age recoded (6 intervals),55-64,491,female,2021
203,Age recoded (6 intervals),64 and more,544,female,2021
204,Age recoded (6 intervals),15-24,95,male,2022
205,Age recoded (6 intervals),25-34,223,male,2022
206,Age recoded (6 intervals),35-44,299,male,2022
207,Age recoded (6 intervals),45-54,330,male,2022
208,Age recoded (6 intervals),55-64,334,male,2022
209,Age recoded (6 intervals),64 and more,325,male,2022
210,Age recoded (6 intervals),15-24,153,female,2022
211,Age recoded (6 intervals),25-34,287,female,2022
212,Age recoded (6 intervals),35-44,331,female,2022
213,Age recoded (6 intervals),45-54,380,female,2022
214,Age recoded (6 intervals),55-64,288,female,2022
215,Age recoded (6 intervals),64 and more,285,female,2022
216,Vote in elections: local level,Always,10303,male,2017
217,Vote in elections: local level,Usually,4133,male,2017
218,Vote in elections: local level,Never,1704,male,2017
219,Vote in elections: local level,Not allowed to vote,456,male,2017
220,Vote in elections: local level,Always,11519,female,2017
221,Vote in elections: local level,Usually,5367,female,2017
222,Vote in elections: local level,Never,2061,female,2017
223,Vote in elections: local level,Not allowed to vote,473,female,2017
224,Vote in elections: local level,Always,16963,male,2018
225,Vote in elections: local level,Usually,7001,male,2018
226,Vote in elections: local level,Never,4611,male,2018
227,Vote in elections: local level,Not allowed to vote,554,male,2018
228,Vote in elections: local level,Always,19599,female,2018
229,Vote in elections: local level,Usually,8054,female,2018
230,Vote in elections: local level,Never,5605,female,2018
231,Vote in elections: local level,Not allowed to vote,715,female,2018
232,Vote in elections: local level,Always,2979,male,2019
233,Vote in elections: local level,Usually,1258,male,2019
234,Vote in elections: local level,Never,644,male,2019
235,Vote in elections: local level,Not allowed to vote,93,male,2019
236,Vote in elections: local level,Always,3284,female,2019
237,Vote in elections: local level,Usually,1424,female,2019
238,Vote in elections: local level,Never,827,female,2019
239,Vote in elections: local level,Not allowed to vote,94,female,2019
240,Vote in elections: local level,Always,5486,male,2020
241,Vote in elections: local level,Usually,2999,male,2020
242,Vote in elections: local level,Never,1494,male,2020
243,Vote in elections: local level,Not allowed to vote,243,male,2020
244,Vote in elections: local level,Always,5976,female,2020
245,Vote in elections: local level,Usually,3593,female,2020
246,Vote in elections: local level,Never,1798,female,2020
247,Vote in elections: local level,Not allowed to vote,280,female,2020
248,Vote in elections: local level,Always,1623,male,2021
249,Vote in elections: local level,Usually,911,male,2021
250,Vote in elections: local level,Never,549,male,2021
251,Vote in elections: local level,Not allowed to vote,51,male,2021
252,Vote in elections: local level,Always,2158,female,2021
253,Vote in elections: local level,Usually,1125,female,2021
254,Vote in elections: local level,Never,716,female,2021
255,Vote in elections: local level,Not allowed to vote,77,female,2021
256,Vote in elections: local level,Always,916,male,2022
257,Vote in elections: local level,Usually,381,male,2022
258,Vote in elections: local level,Never,222,male,2022
259,Vote in elections: local level,Not allowed to vote,17,male,2022
260,Vote in elections: local level,Always,843,female,2022
261,Vote in elections: local level,Usually,413,female,2022
262,Vote in elections: local level,Never,314,female,2022
263,Vote in elections: local level,Not allowed to vote,20,female,2022
264,Neighbours: Heavy drinkers,not mentioned,6239,male,2017
265,Neighbours: Heavy drinkers,mentioned,10126,male,2017
266,Neighbours: Heavy drinkers,not mentioned,6192,female,2017
267,Neighbours: Heavy drinkers,mentioned,12986,female,2017
268,Neighbours: Heavy drinkers,not mentioned,11068,male,2018
269,Neighbours: Heavy drinkers,mentioned,18660,male,2018
270,Neighbours: Heavy drinkers,not mentioned,10941,female,2018
271,Neighbours: Heavy drinkers,mentioned,23830,female,2018
272,Neighbours: Heavy drinkers,not mentioned,1643,male,2019
273,Neighbours: Heavy drinkers,mentioned,3328,male,2019
274,Neighbours: Heavy drinkers,not mentioned,1536,female,2019
275,Neighbours: Heavy drinkers,mentioned,4094,female,2019
276,Neighbours: Heavy drinkers,not mentioned,3194,male,2020
277,Neighbours: Heavy drinkers,mentioned,7931,male,2020
278,Neighbours: Heavy drinkers,not mentioned,3268,female,2020
279,Neighbours: Heavy drinkers,mentioned,9466,female,2020
280,Neighbours: Heavy drinkers,not mentioned,995,male,2021
281,Neighbours: Heavy drinkers,mentioned,2112,male,2021
282,Neighbours: Heavy drinkers,not mentioned,983,female,2021
283,Neighbours: Heavy drinkers,mentioned,3081,female,2021
284,Neighbours: Heavy drinkers,not mentioned,481,male,2022
285,Neighbours: Heavy drinkers,mentioned,1083,male,2022
286,Neighbours: Heavy drinkers,not mentioned,530,female,2022
287,Neighbours: Heavy drinkers,mentioned,1159,female,2022
288,One of main goals in life has been to make my parents proud,Strongly agree,3375,male,2017
289,One of main goals in life has been to make my parents proud,Agree,7271,male,2017
290,One of main goals in life has been to make my parents proud,Disagree,4363,male,2017
291,One of main goals in life has been to make my parents proud,Strongly Disagree,1264,male,2017
292,One of main goals in life has been to make my parents proud,Strongly agree,4127,female,2017
293,One of main goals in life has been to make my parents proud,Agree,8139,female,2017
294,One of main goals in life has been to make my parents proud,Disagree,4849,female,2017
295,One of main goals in life has been to make my parents proud,Strongly Disagree,1755,female,2017
296,One of main goals in life has been to make my parents proud,Strongly agree,13627,male,2018
297,One of main goals in life has been to make my parents proud,Agree,11058,male,2018
298,One of main goals in life has been to make my parents proud,Disagree,3636,male,2018
299,One of main goals in life has been to make my parents proud,Strongly Disagree,1086,male,2018
300,One of main goals in life has been to make my parents proud,Strongly agree,15328,female,2018
301,One of main goals in life has been to make my parents proud,Agree,13082,female,2018
302,One of main goals in life has been to make my parents proud,Disagree,4414,female,2018
303,One of main goals in life has been to make my parents proud,Strongly Disagree,1420,female,2018
304,One of main goals in life has been to make my parents proud,Strongly agree,2064,male,2019
305,One of main goals in life has been to make my parents proud,Agree,2131,male,2019
306,One of main goals in life has been to make my parents proud,Disagree,579,male,2019
307,One of main goals in life has been to make my parents proud,Strongly Disagree,110,male,2019
308,One of main goals in life has been to make my parents proud,Strongly agree,2357,female,2019
309,One of main goals in life has been to make my parents proud,Agree,2371,female,2019
310,One of main goals in life has been to make my parents proud,Disagree,675,female,2019
311,One of main goals in life has been to make my parents proud,Strongly Disagree,109,female,2019
312,One of main goals in life has been to make my parents proud,Strongly agree,4923,male,2020
313,One of main goals in life has been to make my parents proud,Agree,4614,male,2020
314,One of main goals in life has been to make my parents proud,Disagree,1233,male,2020
315,One of main goals in life has been to make my parents proud,Strongly Disagree,268,male,2020
316,One of main goals in life has been to make my parents proud,Strongly agree,5529,female,2020
317,One of main goals in life has been to make my parents proud,Agree,5221,female,2020
318,One of main goals in life has been to make my parents proud,Disagree,1485,female,2020
319,One of main goals in life has been to make my parents proud,Strongly Disagree,312,female,2020
320,One of main goals in life has been to make my parents proud,Strongly agree,1847,male,2021
321,One of main goals in life has been to make my parents proud,Agree,925,male,2021
322,One of main goals in life has been to make my parents proud,Disagree,248,male,2021
323,One of main goals in life has been to make my parents proud,Strongly Disagree,65,male,2021
324,One of main goals in life has been to make my parents proud,Strongly agree,2205,female,2021
325,One of main goals in life has been to make my parents proud,Agree,1282,female,2021
326,One of main goals in life has been to make my parents proud,Disagree,427,female,2021
327,One of main goals in life has been to make my parents proud,Strongly Disagree,81,female,2021
328,One of main goals in life has been to make my parents proud,Strongly agree,686,male,2022
329,One of main goals in life has been to make my parents proud,Agree,509,male,2022
330,One of main goals in life has been to make my parents proud,Disagree,275,male,2022
331,One of main goals in life has been to make my parents proud,Strongly Disagree,58,male,2022
332,One of main goals in life has been to make my parents proud,Strongly agree,692,female,2022
333,One of main goals in life has been to make my parents proud,Agree,647,female,2022
334,One of main goals in life has been to make my parents proud,Disagree,250,female,2022
335,One of main goals in life has been to make my parents proud,Strongly Disagree,58,female,2022
336,Political system: Having experts make decisions,Very good,2333,male,2017
337,Political system: Having experts make decisions,Fairly good,5973,male,2017
338,Political system: Having experts make decisions,Fairly bad,4888,male,2017
339,Political system: Having experts make decisions,Very bad,2698,male,2017
340,Political system: Having experts make decisions,Very good,2575,female,2017
341,Political system: Having experts make decisions,Fairly good,7244,female,2017
342,Political system: Having experts make decisions,Fairly bad,5261,female,2017
343,Political system: Having experts make decisions,Very bad,2682,female,2017
344,Political system: Having experts make decisions,Very good,6286,male,2018
345,Political system: Having experts make decisions,Fairly good,11155,male,2018
346,Political system: Having experts make decisions,Fairly bad,7285,male,2018
347,Political system: Having experts make decisions,Very bad,3681,male,2018
348,Political system: Having experts make decisions,Very good,6509,female,2018
349,Political system: Having experts make decisions,Fairly good,13206,female,2018
350,Political system: Having experts make decisions,Fairly bad,8372,female,2018
351,Political system: Having experts make decisions,Very bad,4042,female,2018
352,Political system: Having experts make decisions,Very good,1043,male,2019
353,Political system: Having experts make decisions,Fairly good,1979,male,2019
354,Political system: Having experts make decisions,Fairly bad,1176,male,2019
355,Political system: Having experts make decisions,Very bad,588,male,2019
356,Political system: Having experts make decisions,Very good,1101,female,2019
357,Political system: Having experts make decisions,Fairly good,2306,female,2019
358,Political system: Having experts make decisions,Fairly bad,1242,female,2019
359,Political system: Having experts make decisions,Very bad,569,female,2019
360,Political system: Having experts make decisions,Very good,2384,male,2020
361,Political system: Having experts make decisions,Fairly good,4222,male,2020
362,Political system: Having experts make decisions,Fairly bad,2551,male,2020
363,Political system: Having experts make decisions,Very bad,1472,male,2020
364,Political system: Having experts make decisions,Very good,2325,female,2020
365,Political system: Having experts make decisions,Fairly good,4822,female,2020
366,Political system: Having experts make decisions,Fairly bad,2988,female,2020
367,Political system: Having experts make decisions,Very bad,1538,female,2020
368,Political system: Having experts make decisions,Very good,879,male,2021
369,Political system: Having experts make decisions,Fairly good,1144,male,2021
370,Political system: Having experts make decisions,Fairly bad,651,male,2021
371,Political system: Having experts make decisions,Very bad,372,male,2021
372,Political system: Having experts make decisions,Very good,996,female,2021
373,Political system: Having experts make decisions,Fairly good,1484,female,2021
374,Political system: Having experts make decisions,Fairly bad,861,female,2021
375,Political system: Having experts make decisions,Very bad,512,female,2021
376,Political system: Having experts make decisions,Very good,225,male,2022
377,Political system: Having experts make decisions,Fairly good,580,male,2022
378,Political system: Having experts make decisions,Fairly bad,444,male,2022
379,Political system: Having experts make decisions,Very bad,195,male,2022
380,Political system: Having experts make decisions,Very good,220,female,2022
381,Political system: Having experts make decisions,Fairly good,588,female,2022
382,Political system: Having experts make decisions,Fairly bad,387,female,2022
383,Political system: Having experts make decisions,Very bad,179,female,2022
384,Homosexual couples are as good parents as other couples,Strongly agree,2310,male,2017
385,Homosexual couples are as good parents as other couples,Agree,3732,male,2017
386,Homosexual couples are as good parents as other couples,Neither agree nor disagree,3324,male,2017
387,Homosexual couples are as good parents as other couples,Disagree,3517,male,2017
388,Homosexual couples are as good parents as other couples,Strongly Disagree,2797,male,2017
389,Homosexual couples are as good parents as other couples,Strongly agree,4301,female,2017
390,Homosexual couples are as good parents as other couples,Agree,4881,female,2017
391,Homosexual couples are as good parents as other couples,Neither agree nor disagree,3262,female,2017
392,Homosexual couples are as good parents as other couples,Disagree,3143,female,2017
393,Homosexual couples are as good parents as other couples,Strongly Disagree,2678,female,2017
394,Homosexual couples are as good parents as other couples,Strongly agree,2271,male,2018
395,Homosexual couples are as good parents as other couples,Agree,4483,male,2018
396,Homosexual couples are as good parents as other couples,Neither agree nor disagree,4887,male,2018
397,Homosexual couples are as good parents as other couples,Disagree,7295,male,2018
398,Homosexual couples are as good parents as other couples,Strongly Disagree,6946,male,2018
399,Homosexual couples are as good parents as other couples,Strongly agree,4024,female,2018
400,Homosexual couples are as good parents as other couples,Agree,6226,female,2018
401,Homosexual couples are as good parents as other couples,Neither agree nor disagree,5320,female,2018
402,Homosexual couples are as good parents as other couples,Disagree,7565,female,2018
403,Homosexual couples are as good parents as other couples,Strongly Disagree,7290,female,2018
404,Homosexual couples are as good parents as other couples,Strongly agree,239,male,2019
405,Homosexual couples are as good parents as other couples,Agree,886,male,2019
406,Homosexual couples are as good parents as other couples,Neither agree nor disagree,953,male,2019
407,Homosexual couples are as good parents as other couples,Disagree,1142,male,2019
408,Homosexual couples are as good parents as other couples,Strongly Disagree,1005,male,2019
409,Homosexual couples are as good parents as other couples,Strongly agree,394,female,2019
410,Homosexual couples are as good parents as other couples,Agree,1221,female,2019
411,Homosexual couples are as good parents as other couples,Neither agree nor disagree,1091,female,2019
412,Homosexual couples are as good parents as other couples,Disagree,1175,female,2019
413,Homosexual couples are as good parents as other couples,Strongly Disagree,822,female,2019
414,Homosexual couples are as good parents as other couples,Strongly agree,1085,male,2020
415,Homosexual couples are as good parents as other couples,Agree,2114,male,2020
416,Homosexual couples are as good parents as other couples,Neither agree nor disagree,1967,male,2020
417,Homosexual couples are as good parents as other couples,Disagree,2254,male,2020
418,Homosexual couples are as good parents as other couples,Strongly Disagree,1925,male,2020
419,Homosexual couples are as good parents as other couples,Strongly agree,1880,female,2020
420,Homosexual couples are as good parents as other couples,Agree,2506,female,2020
421,Homosexual couples are as good parents as other couples,Neither agree nor disagree,1885,female,2020
422,Homosexual couples are as good parents as other couples,Disagree,2442,female,2020
423,Homosexual couples are as good parents as other couples,Strongly Disagree,2022,female,2020
424,Homosexual couples are as good parents as other couples,Strongly agree,129,male,2021
425,Homosexual couples are as good parents as other couples,Agree,210,male,2021
426,Homosexual couples are as good parents as other couples,Neither agree nor disagree,364,male,2021
427,Homosexual couples are as good parents as other couples,Disagree,661,male,2021
428,Homosexual couples are as good parents as other couples,Strongly Disagree,1092,male,2021
429,Homosexual couples are as good parents as other couples,Strongly agree,165,female,2021
430,Homosexual couples are as good parents as other couples,Agree,393,female,2021
431,Homosexual couples are as good parents as other couples,Neither agree nor disagree,440,female,2021
432,Homosexual couples are as good parents as other couples,Disagree,865,female,2021
433,Homosexual couples are as good parents as other couples,Strongly Disagree,1416,female,2021
434,Homosexual couples are as good parents as other couples,Strongly agree,277,male,2022
435,Homosexual couples are as good parents as other couples,Agree,377,male,2022
436,Homosexual couples are as good parents as other couples,Neither agree nor disagree,226,male,2022
437,Homosexual couples are as good parents as other couples,Disagree,263,male,2022
438,Homosexual couples are as good parents as other couples,Strongly Disagree,295,male,2022
439,Homosexual couples are as good parents as other couples,Strongly agree,510,female,2022
440,Homosexual couples are as good parents as other couples,Agree,490,female,2022
441,Homosexual couples are as good parents as other couples,Neither agree nor disagree,124,female,2022
442,Homosexual couples are as good parents as other couples,Disagree,215,female,2022
443,Homosexual couples are as good parents as other couples,Strongly Disagree,242,female,2022
444,Trust: People you know personally (B),trust completely,6074,male,2017
445,Trust: People you know personally (B),trust somewhat,8922,male,2017
446,Trust: People you know personally (B),do not trust very much,1432,male,2017
447,Trust: People you know personally (B),do not trust at all,306,male,2017
448,Trust: People you know personally (B),trust completely,7090,female,2017
449,Trust: People you know personally (B),trust somewhat,10176,female,2017
450,Trust: People you know personally (B),do not trust very much,1914,female,2017
451,Trust: People you know personally (B),do not trust at all,372,female,2017
452,Trust: People you know personally (B),trust completely,7056,male,2018
453,Trust: People you know personally (B),trust somewhat,15888,male,2018
454,Trust: People you know personally (B),do not trust very much,5525,male,2018
455,Trust: People you know personally (B),do not trust at all,1440,male,2018
456,Trust: People you know personally (B),trust completely,8085,female,2018
457,Trust: People you know personally (B),trust somewhat,18422,female,2018
458,Trust: People you know personally (B),do not trust very much,6523,female,2018
459,Trust: People you know personally (B),do not trust at all,1897,female,2018
460,Trust: People you know personally (B),trust completely,1022,male,2019
461,Trust: People you know personally (B),trust somewhat,3083,male,2019
462,Trust: People you know personally (B),do not trust very much,785,male,2019
463,Trust: People you know personally (B),do not trust at all,147,male,2019
464,Trust: People you know personally (B),trust completely,1129,female,2019
465,Trust: People you know personally (B),trust somewhat,3474,female,2019
466,Trust: People you know personally (B),do not trust very much,957,female,2019
467,Trust: People you know personally (B),do not trust at all,168,female,2019
468,Trust: People you know personally (B),trust completely,2730,male,2020
469,Trust: People you know personally (B),trust somewhat,6180,male,2020
470,Trust: People you know personally (B),do not trust very much,1746,male,2020
471,Trust: People you know personally (B),do not trust at all,492,male,2020
472,Trust: People you know personally (B),trust completely,2868,female,2020
473,Trust: People you know personally (B),trust somewhat,7125,female,2020
474,Trust: People you know personally (B),do not trust very much,2132,female,2020
